epoch,train_total,train_img,train_mr,train_kl,val_total,val_img,val_mr,val_kl,val_scale0_sc,val_scale0_mag,val_scale1_sc,val_scale1_mag,val_scale2_sc,val_scale2_mag,epoch_sec
1,402.09825045084784,773.0622586723712,9.613210635219547,107.60515816263158,141.445291121229,257.50768433714944,9.655003654013434,78.63947093057976,0.9975672025474713,3.231012119663705,0.9975712063501208,3.3952467372949173,0.9974446459639844,3.705459021835876,180.19188165664673
2,128.7438616238052,232.45244057744526,9.805836010322297,76.14723336610862,114.45249351666128,204.63930198614545,9.818669737671776,72.23507630053184,0.9964428902101173,3.3919488997768155,0.9964735898182546,3.3881108134770566,0.9963844900937389,3.725753309057771,180.27832651138306
3,115.02174655996639,205.55952378142652,9.945206964616295,72.69381261043411,111.2090197226984,197.69420294452914,10.124650643026229,72.99592985523691,0.9963782892810354,3.587802772899326,0.9964071756644215,3.4765006492463804,0.996330012306035,3.82253827551286,150.69625854492188
4,110.61131795018697,196.52542034670603,10.04245221872124,73.27381794744258,106.07046102619857,187.3818108538072,10.022914227821843,73.68098523805467,0.9956478770259473,3.5936693510563256,0.9956924081277504,3.3900872511829405,0.9956096762375866,3.731492989354854,147.8700888156891
5,107.91085331045467,190.92708084051557,10.111469585260899,73.91578030757766,104.28501321257447,183.45332177251362,10.185993390117618,74.65355586319518,0.9955685653274865,3.690450739517486,0.9955927275067611,3.4455848237593396,0.9955085528840264,3.7867911265050767,147.06758308410645
6,106.36331141080788,187.55451671682673,10.154101176227597,75.09002574399221,102.52782547216621,180.1709981685062,10.089511953669486,73.97570622396125,0.9951138648626615,3.680949892929132,0.9951705859719421,3.3768641537041972,0.9950863971984644,3.710961383023708,149.61761593818665
7,105.28423201609002,185.23691344775742,10.174931755168833,75.78309579204313,101.32954963848745,177.22050185169246,10.206117640296332,76.16239594384064,0.9954564384848094,3.764660497363523,0.9954957546090051,3.4068487771123435,0.9954182606378048,3.7333008479728975,148.31869101524353
8,104.41736447725364,183.493600008299,10.180042941793264,75.80542897835052,102.28503879025686,179.46868018280688,10.02825307503021,75.36571999419508,0.9952522812129783,3.702988973624415,0.9952993654518676,3.3151407902189294,0.9952229460795149,3.6301844720360186,154.20250797271729
9,103.82680115596854,182.30858949620088,10.173183092968069,75.85914760699374,101.2758472634734,176.88375832537096,10.267071463221269,77.00432778776978,0.9956949827053564,3.813163461445047,0.9957311432138621,3.4204720104341026,0.995663573416017,3.7380781285196756,152.444180727005
10,103.22465923364214,181.17987941494948,10.166135625873538,75.51651725494604,99.90607792696507,174.27630340795722,10.155264933332266,76.9029387878857,0.9954024911355629,3.7649850073478204,0.9954557037181991,3.3729074747442342,0.9953852789007502,3.6786613121307155,154.11914038658142
11,102.85815235522153,180.47502960918618,10.157750129699707,75.41762632603267,99.39014204285985,173.36040227876293,10.206220856673426,76.06830553013644,0.9952001672425717,3.789423355095678,0.9952382183761048,3.398543381862503,0.9951654773393124,3.6967350193064847,152.21827268600464
12,102.40485563895685,179.65133864588017,10.149392849249805,75.04489935044762,99.10103862405681,173.10994863167085,10.200888997359241,74.45619681927798,0.9953102186429414,3.7852327334795066,0.9953511715364113,3.3995517329346363,0.9952794362743982,3.6925487646953665,154.04701209068298
13,102.14006845213527,179.19198390219708,10.138804409143736,74.74674290032695,99.13836060668068,173.4969787048779,10.051610456096183,73.64065716421004,0.9950789607686105,3.7077469071038336,0.9951127720393723,3.3398408040725927,0.9950375355404916,3.633596743611123,146.39168310165405
14,101.80694974583687,178.6139576177803,10.1335316253223,74.33205113308036,100.97487313798864,176.7880438934985,10.303895943456416,74.28903124143751,0.9956990461126506,3.820475074884703,0.9957294927226553,3.4556204963931076,0.995667239530481,3.747886513634551,149.72136616706848
15,101.71681292280019,178.46218052870935,10.128195491626109,74.216249136616,99.38746903783125,173.55740795547155,10.03560959177909,75.90960613772165,0.9953595101833344,3.6929106069125717,0.9954015486103167,3.338726779539808,0.9953306111500417,3.6315687337367653,151.4839630126953
16,101.47131362064279,178.06125890608314,10.124451798500775,73.78458357886444,98.38397469280434,171.95847885900264,10.168979003275041,73.20245998025798,0.9951642991827546,3.7602844452686446,0.9952103242599707,3.3949477183733054,0.9951418526738668,3.685697686757973,149.59423089027405
17,101.21559088864772,177.625250452714,10.121305319902708,73.42312960315951,98.84323792491885,173.0233320057821,10.14982908921276,72.56657467300086,0.9956843109010792,3.747925003655523,0.9957199019493816,3.3880189605754056,0.9956572156587093,3.6795479462301133,150.4446361064911
18,100.9513589392463,177.21170990758662,10.11744999799797,72.86778965270777,97.80404199284615,170.98231144088635,10.161242275786915,72.3226537635858,0.9951429264150935,3.753838184068529,0.9951908030955912,3.39314213159273,0.9951208433230146,3.6857354529469992,151.55147409439087
19,100.74502762444585,176.8680605854062,10.115590441141197,72.53202062373539,97.70277064481228,170.95812938882293,10.138778823742763,71.54316828062208,0.9955545224302964,3.7531981545386555,0.9955900067048107,3.377572353795278,0.9955269083273497,3.6620981273033637,154.11997604370117
20,100.57421282212512,176.58450033338806,10.11233807210442,72.25793722550647,97.58400383270045,170.623738570179,10.090490749414018,72.26888867933972,0.9952365878245814,3.715468980425553,0.9952664141603511,3.3649323441141803,0.9951978488791761,3.660094359795824,151.28338313102722
