metric,n_runs,mean,std,median,p90,min,max
test_diag_mae,10,0.34561901347072543,0.1819678274253003,0.2937359397577567,0.5721882785572079,0.03892507673200746,0.693236655871668
test_offdiag_mean_abs_corr,10,0.12671912396056645,0.057881310256102485,0.1382530851313979,0.18823723471111703,0.0013097255259957087,0.18968818289596132
test_kl_moment_to_std_normal,10,7.981788608015893,4.534322997872501,7.862633698584362,12.016765410465421,0.1227100824471945,17.587730861035773
test_w2_moment_to_std_normal,10,11.981928625593628,7.175213282035465,11.818926859440179,18.072714686248794,0.20904533551998114,28.048109615912725
ood_diag_mae,10,0.0355712186840969,0.023940110522333368,0.02851986249752233,0.05031576842749678,0.01748876661295442,0.103020679504878
ood_offdiag_mean_abs_corr,10,0.011061101676033453,0.006703436172550809,0.008932595463743894,0.02008743691551809,0.0012227413856149125,0.02091040643538319
ood_kl_moment_to_std_normal,10,0.3182564852398707,0.19104591279004912,0.24012037167578335,0.6145984723391111,0.12180711342729955,0.7380810134451097
ood_w2_moment_to_std_normal,10,0.44821203293153367,0.22594715853342354,0.34622728064054725,0.8398251945568715,0.20819210508032596,0.9163071958692597
prior_test_realism_composite,10,1.8773041667050478,0.22245537870356938,1.8412004096682246,2.1776468601903147,1.4734048932703407,2.256574399005726
prior_ood_realism_composite,10,2.129968420209842,0.2218064289978495,2.0941040570576943,2.411499619854079,1.7248900904065696,2.509661359486773
test_max_var_global,10,2230.4450711734326,1126.4834154613418,2886.508770352869,2980.9170501258377,20.94433512074126,2980.9579870417283
ood_max_var_global,10,235.86663319828298,268.1956664995342,95.66495088504995,662.2072378385543,14.043550857116797,827.4853626522694
