metric,baseline_mean,fullcov_mean,signed_diff_mean,ci95_low,ci95_high,p_gt0
ssim,0.627869829415497,0.6117780419939016,-0.016091787421595352,-0.020087118609950556,-0.012191039632957024,0.0
lsd,1.7387143121315882,1.7088315188884735,0.029882793243114766,-0.07477267235517501,0.13209678204013747,0.7185
sc,0.20189064569198167,0.21908587561203882,-0.01719522992005715,-0.020233535780929603,-0.014194256217720417,0.0
s_corr,0.9688216831191977,0.9619364171111602,-0.006885266008037292,-0.007949489503133744,-0.005942029224222748,0.0
sta_lta_err,0.0765073720929066,0.07484274185449365,0.001664630238412946,-0.0138996513008991,0.017477253021606045,0.5873
mr_lsd,1.9418390954256326,1.8028506724317919,0.13898842299384087,0.08504527460493547,0.19304533419099032,1.0
arias_err,0.39143777118270506,0.5151413824426425,-0.12370361125993731,-0.2005401396528283,-0.041330057479431165,0.002
env_corr,0.5863373452103131,0.5746699520340237,-0.011667393176289363,-0.026730880558935303,0.0034612437526231245,0.0636
dtw,12314.045277423678,11560.891466118257,753.1538113054223,4.895789890712633,1820.1092001093164,0.9762
xcorr,0.20706904117546424,0.20426084620449428,-0.0028081949709699494,-0.015261497012027345,0.008125980563298957,0.3223
